"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"ST6GAL11",4.26476622603873e-56,0.969239108811525,0.899,0.306,9.63794519422493e-52,"7","ST6GAL1",0.593
"ERN1",6.24412595559688e-56,0.511527308042929,0.555,0.098,1.41111002470534e-51,"7","ERN1",0.457
"SEL1L32",7.09115007227206e-56,0.836681592798961,0.672,0.153,1.60252900483276e-51,"7","SEL1L3",0.519
"SSR31",9.34389098189053e-56,1.29606140504123,0.891,0.409,2.11162592299744e-51,"7","SSR3",0.482
"CALU",2.76250947111026e-55,0.741189670172363,0.664,0.155,6.24299515376209e-51,"7","CALU",0.509
"TSPAN131",6.26516916763768e-54,0.252632442133667,0.462,0.071,1.41586558019444e-49,"7","TSPAN13",0.391
"IGLC32",1.77590141247012e-52,2.44438559787339,0.571,0.135,4.01335960204122e-48,"7","IGLC3",0.436
"RASGRP31",4.24511696616128e-52,0.499395436972225,0.538,0.107,9.59353983182787e-48,"7","RASGRP3",0.431
"CHST2",5.75034803321481e-52,0.529902588007894,0.387,0.056,1.29952115202621e-47,"7","CHST2",0.331
"TBL2",9.09747579733084e-52,0.343907979669932,0.462,0.078,2.0559385554388e-47,"7","TBL2",0.384
"IGHM2",1.28263182979036e-51,3.71581952300778,0.782,0.221,2.89861967214324e-47,"7","IGHM",0.561
"SEC24D",2.64079105218994e-51,0.426729079669119,0.504,0.093,5.96792369884404e-47,"7","SEC24D",0.411
"NANS2",2.02708207345109e-50,0.658413663540703,0.697,0.185,4.58100277779211e-46,"7","NANS",0.512
"MANEA",1.31919832314735e-49,0.325189194162816,0.387,0.058,2.9812562904807e-45,"7","MANEA",0.329
"SLC44A1",1.87403404174111e-49,0.522020587249096,0.546,0.113,4.23512953093074e-45,"7","SLC44A1",0.433
"IGKV1D-8",4.4272997125125e-49,0.388184442771857,0.252,0.027,1.0005254620307e-44,"7","IGKV1D-8",0.225
"ZNF275",4.71313033569929e-49,0.27977535841286,0.336,0.046,1.06512032456468e-44,"7","ZNF275",0.29
"STT3A",7.87003251358671e-49,0.681863608163928,0.706,0.192,1.77854864774546e-44,"7","STT3A",0.514
"GNG71",7.96907049308395e-49,0.399874083775534,0.37,0.053,1.80093024073204e-44,"7","GNG7",0.317
"SLC35B1",1.49354254259459e-48,0.557227618588263,0.597,0.138,3.37525679200952e-44,"7","SLC35B1",0.459
